brand,buttons,color,ctype,dpi,model,name,price,rating,reviews,style
HP,6,Black,Wired,12000 dpi,1KF75AA#ABL,OMEN Mouse 600,56.69,5,3,
ASUS,12,Black,Wireless RF 2.4GHz,8200 dpi,90MP00A1-B0UA00,ROG Spatha,159.99,4,156,For palm and claw grippers.
Rosewill,,Black,Wired,10000 dpi,NEON M63,,20.99,4,270,Adjustable
Rosewill,6,White,Wired,4000 dpi,ION D21,,15.99,4,18,
Rosewill,6,Black,Wired,10000 dpi,NEON M59,,18.99,4,270,All
A4Tech,7,Blue,Wired,3600 dpi,XL-760BL,,27.99,4,3,
RAZER,,Black,Wired / Wireless,16000 dpi,RZ83-02480100-B3U1,Mamba + Firefly,236.99,4,4,
Endgame Gear,OMRON long-life switches (mechanical),Black,Wired,Pixart PMW3389 High-End (optical),EGG-XM1-BLK,XM1,39.99,4,22,"Claw Grip, Palm Grip, Finger Grip"
,7,Black,Wired,,,,39.99,NA,0,
AULA,,Black,Wired,,AULA SC200,,18.99,NA,0,
AULA,6,Black,Wired,6400 dpi,F810,Wired Gaming Mouse,29.59,NA,0,Palm / Claw
,7,Black,Wired,3200 dpi,GM-702,,19.98,NA,0,
AULA,7,Black,Wired,3200 dpi,F809,Wired Gaming Mouse,24.99,NA,0,Palm / Claw
AULA,7,Black,Wired,6400 dpi,S18,Wired Gaming Mouse,21.99,NA,0,Palm / Claw
,7,,Wired,3200 dpi,,,18.96,NA,0,
GIGABYTE,7,Metallic Black,Wired,3200 dpi,GM-M6900A,M6900,32.2,NA,0,
ZOWIE GEAR,5,DIVINA Blue,Wired,3200 dpi,FK1+-B,,65.99,NA,0,Palm / Claw
MageGee,7,Black,Wired,3200,G10,Wired gaming mouse,12.99,NA,0,
AULA,7,Black,Wired,6400 dpi,F805,Wired Gaming Mouse,25.99,NA,0,Palm / Claw
,7,,Wired,3200 dpi,,,17.99,NA,0,
ZOWIE GEAR,5,Black,Wired,3200 dpi,ZA11-B,,65.99,NA,0,Palm / Claw
,7,Black,Wired,3200 dpi,,,29.99,NA,0,
ZOWIE GEAR,5,Black,Wired,3200 dpi,ZA13-B,,65.99,NA,0,Palm / Claw
ZOWIE GEAR,5,Black,Wired,3200 dpi,ZA12-B,,65.99,NA,0,Palm / Claw
IMICE,6,White,Wired,4000 dpi,V8,V8 Programmable Gmae Mouse,21.99,NA,0,Palm
Logitech,4,,Bluetooth Wireless,4000 dpi,910-005447,,115.21,NA,0,
LUOM,6,Black,Wired,3200 dpi,X5,X5,13.99,NA,0,
RAJFOO,6,Black,Wired,3200 dpi,Crazy Scorpion,Crazy Scorpion,16.99,NA,0,All
ESTONE,6,White,Wired,4800 dpi,V6,V6 game mouse,13.99,NA,0,Palm
Logitech,6,Black,RF Wireless,12000 dpi,910-005091,G703,95.77,4,333,All
Glorious,6,Glossy Black,Wired,12000 dpi,GOM-GBLACK,Model O Minus,145.99,4,21,Palm / Claw
RAZER,19,Black,Wired,16000 dpi,,,99.66,4,12,
SteelSeries,6,Black,Wired,,62513,Rival 3,59.95,5,1,Claw / Fingertip
COOLER MASTER,6,Glossy Black,Wired,16000 dpi,MM-710-KKOL1,MasterMouse MM710,29.99,5,1,Claw / Palm / Fingertip
Razer,5,Matte Black,Wired,6400 dpi,RZ01-00840100-R3U1,DeathAdder 2013 Essential,25.46,4,16,
Mad Catz,8,Black,Wired,7200 dpi,MR03DCAMBL00,R.A.T Pro S3,52.35,4,26,
